Survey_ID,Nearest_Landmark,Gutter_Type,BlockScore,Width_m,Depth_m,CrossSec_m2,DEM_Value,Slope_Score,FlowAcc_Score,LULC_Risk,Capacity_Risk,Rainfall_Score,Risk_Score,Risk_Level,Photo_ID,Latitude,Longitude
754260022.0,Gosple bookroom,Open concrete drain,0.25,0.5,0.6,0.3,49.0,0.893798,0.0,1.0,0.775,0.301,0.446769699,Moderately Low,1778065553431.jpg,5.6490789,-0.2068122
754260040.0,Westlands,Open concrete drain,0.5,0.5,0.6,0.3,50.0,0.806781,0.0,1.0,0.85,0.301,0.516217149,Moderately High,1778065989747.jpg,5.6486389,-0.2076778
754260079.0,Westlands 2,Open concrete drain,0.5,0.5,0.6,0.3,52.0,0.701936,0.0,1.0,0.85,0.301,0.500490401,Moderately High,1778066309648.jpg,5.6485444,-0.2077318
754260092.0,Westlands,Open concrete drain,0.25,0.5,0.6,0.3,49.0,0.762959,0.006309148,1.0,0.775,0.301,0.428090223,Moderately Low,1778066457394.jpg,5.6486654,-0.2077674
754260115.0,Westlands,Open concrete drain,0.25,0.5,0.6,0.3,51.0,0.806781,0.0,1.0,0.775,0.301,0.433717149,Moderately Low,1778066612977.jpg,5.6485619,-0.2072066
754260128.0,Westlands,Open concrete drain,0.5,0.5,0.6,0.3,48.0,0.94018,0.056782334,1.0,0.85,0.301,0.544744351,Moderately High,1778066736522.jpg,5.6488275,-0.2068249
754260143.0,Westlands,Open concrete drain,0.75,0.6,0.5,0.3,50.0,0.879269,0.0,1.0,0.925,0.301,0.60959035,Moderately High,1778323957400.jpg,5.6491957,-0.2067121
754260162.0,Manu street,Open concrete drain,1.0,0.4,0.5,0.2,49.0,0.950224,0.006309148,0.0,1.0,0.301,0.603679969,Moderately High,1778324127409.jpg,5.6492213,-0.2060895
754260173.0,Manu street,Earthen / soil drain,0.75,0.6,0.65,0.39,51.0,0.91067,0.0,0.0,0.9025,0.301,0.512050497,Moderately High,1778324317736.jpg,5.6490928,-0.2061391
754260190.0,Nii boye street,Open concrete drain,0.25,0.6,0.7,0.42,52.0,0.847161,0.0,0.0,0.685,0.301,0.330774149,Moderately Low,1778324546250.jpg,5.6484881,-0.2061587
754260204.0,Nii boye street,Open concrete drain,0.25,0.6,0.7,0.42,52.0,0.835912,0.0,0.0,0.685,0.301,0.329086798,Moderately Low,1778324698327.jpg,5.6482255,-0.2062499
754260216.0,Nii boye street/ boundary road,Covered / underground drain,0.75,0.6,0.7,0.42,50.0,0.91067,0.006309148,0.0,0.895,0.301,0.512246869,Moderately High,1778325020239.jpg,5.6472438,-0.206061
754260238.0,Wakam villa,Open concrete drain,0.75,0.6,0.7,0.42,49.0,0.915414,0.015772871,0.0,0.895,0.301,0.514378027,Moderately High,1778325324753.jpg,5.6471656,-0.2061245
754260260.0,Wakam villa,Open concrete drain,0.75,0.6,0.7,0.42,49.0,0.915414,0.015772871,1.0,0.895,0.301,0.614378027,Moderately High,1778325435480.jpg,5.6471245,-0.206169
754261082.0,Wakam villa,Open concrete drain,0.5,0.6,0.7,0.42,49.0,0.953071,0.050473186,1.0,0.79,0.301,0.539731627,Moderately High,1778325570168.jpg,5.6470847,-0.2063995
754261107.0,Nii boye main street,Open concrete drain,0.5,0.6,,0.42,49.0,0.820747,0.0,1.0,0.79,0.301,0.512312052,Moderately High,1778325703632.jpg,5.6468412,-0.2066551
754261124.0,Nii boy street,Open concrete drain,0.5,0.6,,0.42,49.0,0.820747,0.0,1.0,0.79,0.301,0.512312052,Moderately High,1778325950179.jpg,5.6467892,-0.2068333
754261145.0,Momo vendor on nii boye street,Covered / underground drain,0.75,0.5,,0.3,46.0,0.820747,0.025236593,1.0,0.925,0.301,0.604597541,Moderately High,1778326165938.jpg,5.6465188,-0.207199
754261167.0,Nii boye street,Open concrete drain,0.75,0.6,,0.42,46.0,0.820747,0.025236593,1.0,0.895,0.301,0.601597541,Moderately High,1778326795774.jpg,5.646407,-0.2072444
754261339.0,Notre dame Catholic church,Open concrete drain,0.75,0.6,0.7,0.42,47.0,0.829361,0.012618297,1.0,0.895,0.301,0.600996898,Moderately High,1778327106500.jpg,5.6464748,-0.2079547
754261353.0,Notre dame church,Open concrete drain,0.5,0.6,0.7,0.42,48.0,0.811079,0.003154574,1.0,0.79,0.301,0.51133504,Moderately High,1778327262808.jpg,5.646507,-0.2083787
754261364.0,Anasimba,Open concrete drain,0.75,0.3,0.6,0.12,48.0,0.811079,0.003154574,1.0,0.97,0.301,0.60433504,Moderately High,1778327358255.jpg,5.6464204,-0.2084505
754261381.0,CIC Ltd,Open concrete drain,0.25,0.6,0.7,0.42,48.0,0.82383,0.003154574,1.0,0.685,0.301,0.427747687,Moderately Low,1778327477797.jpg,5.6465126,-0.2087863
754261395.0,Best auto workshop,Open concrete drain,0.25,0.6,0.7,0.42,53.0,0.82383,0.0,1.0,0.685,0.301,0.427274501,Moderately Low,1778327610693.jpg,5.6472039,-0.208773
754261410.0,Dennis,Open concrete drain,0.25,0.6,0.7,0.42,51.0,0.758964,0.003154574,1.0,0.685,0.301,0.418017786,Moderately Low,1778327730372.jpg,5.6478142,-0.208818
754261437.0,Dennis,Open concrete drain,0.5,0.6,0.4,0.42,48.0,0.821513,0.0,1.0,0.79,0.301,0.512426949,Moderately High,1778327864339.jpg,5.6483854,-0.2097985
754261506.0,Westlands junction,Open concrete drain,0.5,1.0,0.7,1.5,41.0,0.925808,0.0,1.0,0.25,0.301,0.474071202,Moderately Low,1778328985652.jpg,5.6499459,-0.2099043
754261522.0,Mz Vee salon,Open concrete drain,0.5,0.6,0.7,0.42,41.0,0.925808,0.0,1.0,0.79,0.301,0.528071202,Moderately High,1778329107281.jpg,5.6497807,-0.2098926
754261547.0,Westlands fresh foods,Open concrete drain,0.25,0.8,0.6,0.72,40.0,0.925808,0.0,1.0,0.46,0.301,0.420071202,Moderately Low,1778329212238.jpg,5.6498711,86808
754261455.0,Jumiere group,Open concrete drain,0.75,0.6,0.7,0.36,46.0,0.851716,0.006309148,1.0,0.91,0.301,0.604903769,Moderately High,1778328124875.jpg,5.6487749,-0.208447
754261480.0,Westlands junction,Open concrete drain,0.25,1.0,0.7,1.5,40.0,0.931596,0.233438486,1.0,-0.125,0.301,0.39745517,Moderately Low,1778328894757.jpg-0.2099856
